Profundidad,Densidad Aparente,Gamma Ray,Porosidad Neutrón,Resistividad Profunda,Resistividad Media
3636.4652,2.2314,31.6664,29.7807,0.6995,0.7747
3636.6176,2.2387,28.9252,26.3016,0.6708,0.7627
3636.77,2.242,23.7211,27.9633,0.6514,0.7503
3636.9224,2.2377,27.7928,28.8297,0.6376,0.7313
3637.0748,2.2332,27.6418,21.5788,0.6248,0.717
3637.2272,2.2267,28.9789,25.9342,0.6062,0.7067
3637.3796,2.2166,28.1649,29.4375,0.5913,0.6971
3637.532,2.2218,30.8794,31.3356,0.5853,0.6907
3637.6844,2.229,27.7728,24.7629,0.5747,0.6896
3637.8368,2.2248,27.0257,30.0741,0.573,0.6864
3637.9892,2.2221,25.9779,28.5306,0.5738,0.6805
3638.1416,2.218,25.9779,28.2374,0.5798,0.6752
3638.294,2.2153,28.3274,31.728,0.6133,0.6921
3638.4464,2.2155,26.5994,27.0522,0.6389,0.6968
3638.5988,2.2132,30.218,26.351,0.656,0.7089
3638.7512,2.2121,32.6332,23.3845,0.6692,0.7195
3638.9036,2.2084,30.3532,24.9435,0.678,0.7316
3639.056,2.2036,30.2545,23.2958,0.6887,0.7441
3639.2084,2.2093,28.8502,24.5244,0.7088,0.7847
3639.3608,2.2202,29.6352,25.1629,0.7229,0.8245
3639.5132,2.2198,29.0288,24.0032,0.7392,0.8712
3639.6656,2.2204,30.2218,26.6552,0.7582,0.8695
3639.818,2.2276,30.3899,24.293,0.7889,0.8941
3639.9704,2.2347,34.8562,22.6177,0.8116,0.8968
3640.1228,2.2404,42.9595,25.6922,0.8393,0.9139
3640.2752,2.2469,50.2215,30.9261,0.8716,0.9713
3640.4276,2.2685,55.4561,35.6904,0.9028,1.001
3640.58,2.3034,53.7131,35.7533,0.9319,1.0083
3640.7324,2.3293,56.8171,48.6267,1.0311,1.045
3640.8848,2.3252,68.2397,76.6063,1.1017,1.0461
3641.0372,2.3257,63.9771,55.3948,1.1347,1.0804
3641.1896,2.3486,63.7007,42.3934,1.1512,1.057
3641.342,2.3677,59.1841,30.5617,1.1302,1.1482
3641.4944,2.3752,63.2545,32.4268,1.1231,1.1622
3641.6468,2.3764,60.9137,24.5761,1.1593,1.2049
3641.7992,2.3776,58.2263,48.4207,1.2157,1.2939
3641.9516,2.3834,50.3738,46.5166,1.2974,1.3655
3642.104,2.427,48.7121,39.3078,1.366,1.304
3642.2564,2.4748,50.1642,44.2197,1.3731,1.2542
3642.4088,2.4895,55.4305,44.5845,1.3097,1.2132
3642.5612,2.4657,54.277,35.6626,1.243,1.1742
3642.7136,2.4197,54.1956,61.5538,1.2011,1.0914
3642.866,2.3424,51.5349,53.0962,1.1511,1.0111
3643.0184,2.2793,58.8711,52.533,1.0688,0.9767
3643.1708,2.2804,55.3767,53.2935,1.003,0.9418
3643.3232,2.3153,64.0023,59.5904,0.9447,0.9104
3643.4756,2.3092,56.4765,59.1657,0.9069,0.8678
3643.628,2.2926,47.1717,54.8998,0.8513,0.8612
3643.7804,2.3218,44.2813,59.1755,0.8145,0.854
3643.9328,2.3819,46.985,54.6657,0.7648,0.817
3644.0852,2.375,55.3348,61.7993,0.7624,0.8403
3644.2376,2.2895,58.9345,42.3004,0.7353,0.7915
3644.39,2.215,52.1809,39.6071,0.8035,0.8161
3644.5424,2.2112,58.7711,51.5171,0.813,0.8268
3644.6948,2.2413,56.0658,61.2518,0.8931,0.9055
3644.8472,2.2616,55.539,47.0469,0.8672,0.986
3644.9996,2.2698,62.5386,48.1365,0.8916,1.0389
3645.152,2.3138,52.8807,79.1181,0.8335,1.0268
3645.3044,2.3722,54.5677,36.2816,0.7922,0.8397
3645.4568,2.3755,47.1679,25.9428,0.769,0.8654
3645.6092,2.3547,49.2351,38.3518,0.7893,0.9646
3645.7616,2.3403,52.3311,30.6974,0.9155,0.9541
3645.914,2.3273,53.9893,30.5262,1.0222,1.1623
3646.0664,2.3121,58.8963,30.9628,0.951,1.1201
3646.2188,2.2781,52.1309,29.9888,0.9681,1.0574
3646.3712,2.2591,58.1393,42.2729,0.9788,1.0538
3646.5236,2.2744,60.9137,55.7612,0.9513,1.0093
3646.676,2.3075,59.1854,49.7556,0.933,0.9794
3646.8284,2.3428,52.4772,43.5671,0.9003,0.9107
3646.9808,2.3558,59.4147,53.0886,0.889,0.9366
3647.1332,2.3483,53.7474,67.4429,0.8901,0.9221
3647.2856,2.3501,61.3109,46.7642,0.9025,0.9244
3647.438,2.3584,58.1979,51.5813,0.9074,0.9183
3647.5904,2.3588,68.441,40.741,0.8791,0.9374
3647.7428,2.3538,67.8533,56.7132,0.8692,0.9135
3647.8952,2.3528,67.1337,45.8107,0.8264,0.8463
3648.0476,2.3411,67.5799,51.7579,0.8218,0.8802
3648.2,2.2972,70.5577,77.2198,0.8698,0.8639
3648.3524,2.2184,58.9296,69.6377,0.8711,0.899
3648.5048,2.2425,54.8944,57.0408,0.8567,0.9243
3648.6572,2.2932,47.7641,60.9939,0.8009,0.9668
3648.8096,2.3223,47.3468,46.8526,0.767,0.9614
3648.962,2.3174,48.1396,44.8193,0.7736,0.97
3649.1144,2.3009,49.2684,37.6218,0.7556,0.8668
3649.2668,2.2922,49.8045,41.1011,0.7653,0.8184
3649.4192,2.2778,49.633,32.9881,0.7624,0.8408
3649.5716,2.2679,55.9245,31.7214,0.7643,0.8552
3649.724,2.2761,53.0467,38.784,0.7645,0.8674
3649.8764,2.2931,53.2642,43.2805,0.7689,0.8561
3650.0288,2.3091,49.377,37.1369,0.7646,0.854
3650.1812,2.3208,52.3956,51.8666,0.7643,0.8301
3650.3336,2.3099,50.1751,58.6734,0.7663,0.8229
3650.486,2.2953,54.2899,42.8142,0.7616,0.8229
3650.6384,2.3029,56.4348,49.9422,0.7557,0.8247
3650.7908,2.326,57.4226,51.6477,0.7483,0.8061
3650.9432,2.3408,58.1072,31.2433,0.7497,0.7849
3651.0956,2.3027,54.8718,34.8755,0.7439,0.7859
3651.248,2.2604,47.9102,32.9523,0.7309,0.7885
3651.4004,2.2569,49.7634,29.9075,0.7214,0.7919
3651.5528,2.2649,47.4769,33.9199,0.7203,0.7978
3651.7052,2.2621,49.2024,32.9541,0.7255,0.8161
3651.8576,2.248,41.9613,40.3044,0.7354,0.8232
3652.01,2.2417,42.4109,41.0152,0.7471,0.8235
3652.1624,2.2647,55.371,40.1389,0.7656,0.8191
3652.3148,2.2913,66.2885,53.5746,0.777,0.803
3652.4672,2.2828,68.08,54.9559,0.7793,0.7936
3652.6196,2.2804,68.08,47.8353,0.7643,0.7922
3652.772,2.2967,65.3927,65.1289,0.7399,0.7867
3652.9244,2.3085,72.9116,50.2774,0.7257,0.7705
3653.0768,2.3022,67.4874,68.4942,0.7268,0.755
3653.2292,2.2865,77.3783,74.3492,0.725,0.7541
3653.3816,2.2644,75.7322,65.883,0.7298,0.7822
3653.534,2.25,71.4517,62.824,0.7339,0.7961
3653.6864,2.2475,65.4218,57.616,0.7425,0.7842
3653.8388,2.2543,72.7998,40.2199,0.7501,0.793
3653.9912,2.2689,69.4974,49.1013,0.7511,0.8008
3654.1436,2.273,70.2871,48.9718,0.7579,0.8013
3654.296,2.2713,73.6317,49.5291,0.7652,0.7483
3654.4484,2.2681,79.3415,54.6814,0.7639,0.7491
3654.6008,2.2727,79.3406,64.3452,0.7557,0.7349
3654.7532,2.287,75.4449,63.0441,0.7382,0.7147
3654.9056,2.2872,77.5219,51.0403,0.718,0.7239
3655.058,2.2845,65.6869,62.2362,0.6999,0.7183
3655.2104,2.2774,65.3927,64.6634,0.6861,0.7229
3655.3628,2.2696,66.3243,47.9195,0.6762,0.7245
3655.5152,2.269,70.6591,55.4488,0.6563,0.7086
3655.6676,2.2557,62.5789,53.1729,0.6317,0.7028
3655.82,2.2026,56.1638,43.6368,0.6087,0.6762
3655.9724,2.1643,44.9219,50.3507,0.5999,0.6495
3656.1248,2.158,36.1207,44.1277,0.5694,0.6224
3656.2772,2.1595,35.5744,36.7296,0.5336,0.6077
3656.4296,2.1592,32.0499,34.0544,0.4569,0.5901
3656.582,2.1539,31.9099,31.4314,0.4087,0.5599
3656.7344,2.1531,26.1152,31.8684,0.406,0.515
3656.8868,2.1538,31.6886,34.4314,0.4055,0.4983
3657.0392,2.1469,30.4695,34.4314,0.4017,0.4865
3657.1916,2.146,28.9995,34.8009,0.3983,0.4643
3657.344,2.1457,31.0854,25.9803,0.3864,0.4505
3657.4964,2.1492,28.8594,30.7771,0.3776,0.4595
3657.6488,2.1528,28.25,34.0408,0.3744,0.4639
3657.8012,2.1463,33.1442,29.3304,0.3664,0.465
3657.9536,2.1416,29.7309,32.142,0.3647,0.4655
3658.106,2.1453,26.7229,31.2044,0.3654,0.4665
3658.2584,2.1515,29.3751,25.395,0.3721,0.468
3658.4108,2.1517,25.4964,30.5519,0.3839,0.4799
3658.5632,2.1503,28.29,31.132,0.4014,0.4872
3658.7156,2.1515,26.2688,29.6192,0.4113,0.4946
3658.868,2.1573,26.61,30.062,0.4127,0.5072
3659.0204,2.1599,26.2145,34.9771,0.445,0.519
3659.1728,2.154,25.0821,29.3636,0.4655,0.5163
3659.3252,2.1582,25.986,29.7333,0.4726,0.507
3659.4776,2.1652,29.8358,28.0439,0.4859,0.5477
3659.63,2.1707,23.9307,23.8943,0.4897,0.5468
3659.7824,2.1792,30.0022,26.0108,0.4955,0.5473
3659.9348,2.182,26.4629,27.4591,0.4937,0.5444
3660.0872,2.1777,25.1056,25.6248,0.4944,0.5411
3660.2396,2.1765,25.102,25.7928,0.4954,0.5412
3660.392,2.1854,27.7659,22.6237,0.4894,0.5403
3660.5444,2.1847,25.9436,29.0487,0.4987,0.5502
3660.6968,2.1829,26.0701,23.9245,0.5047,0.56
3660.8492,2.1838,27.6809,26.8593,0.5118,0.5636
3661.0016,2.1945,24.3599,29.8527,0.5228,0.5817
3661.154,2.2156,29.9888,31.6069,0.5495,0.5907
3661.3064,2.2435,29.1744,36.5239,0.5762,0.6001
3661.4588,2.2712,41.6884,53.5019,0.6205,0.6125
3661.6112,2.2881,57.1066,45.9172,0.6565,0.6217
3661.7636,2.2925,64.6766,66.9556,0.6421,0.6391
3661.916,2.2888,72.0026,54.0675,0.6428,0.6603
3662.0684,2.2828,65.3725,50.4712,0.6645,0.6508
3662.2208,2.2813,70.435,58.4364,0.7211,0.6808
3662.3732,2.2904,69.6034,57.1937,0.727,0.6907
3662.5256,2.2998,63.4079,49.4244,0.736,0.6566
3662.678,2.3212,67.288,61.797,0.754,0.714
3662.8304,2.3436,67.4046,80.2961,0.7563,0.7139
3662.9828,2.3407,63.9893,56.7599,0.7565,0.7208
3663.1352,2.3345,75.5185,61.9597,0.7511,0.7274
3663.2876,2.3385,68.7503,51.0928,0.7435,0.7623
3663.44,2.3212,60.9721,46.8134,0.7279,0.8239
3663.5924,2.27,63.5046,60.8647,0.7416,0.8581
3663.7448,2.2484,66.2885,52.3753,0.771,0.9039
3663.8972,2.2677,63.2363,67.3744,0.7998,0.9776
3664.0496,2.3283,58.6454,44.7603,0.8175,1.0056
3664.202,2.3907,57.7531,42.3311,0.8546,1.0232
3664.3544,2.4256,57.6739,39.4226,0.9582,1.0491
3664.5068,2.4449,52.741,31.0882,1.0939,1.1443
3664.6592,2.4575,55.4091,34.1102,1.1603,1.2791
3664.8116,2.4555,53.0576,33.1914,1.2399,1.3203
3664.964,2.4367,50.4224,32.275,1.3065,1.3848
3665.1164,2.3969,51.9802,31.6842,1.3228,1.3134
3665.2688,2.3613,53.6824,35.5298,1.2716,1.2309
3665.4212,2.4284,52.8434,37.5848,1.2471,1.0974
3665.5736,2.4461,52.9494,41.7267,1.2274,1.0906
3665.726,2.4101,50.8809,45.7881,1.1475,1.0793
3665.8784,2.3716,49.6157,57.1276,1.0289,0.996
3666.0308,2.3389,48.5433,89.8466,0.9629,0.9478
3666.1832,2.2976,50.0234,58.3091,0.9963,0.974
3666.3356,2.2679,52.8516,45.1401,1.0428,0.9948
3666.488,2.2881,53.397,32.812,0.9744,0.9731
