Ca,Fe,Mg,target
7.714849999999999,8.89827,3.34062,basalt
7.357349999999999,9.88386,3.15972,basalt
8.4084,8.62566,4.12452,basalt
7.943649999999999,9.9957,3.59991,basalt
8.35835,9.47145,4.05216,basalt
8.572849999999999,9.2268,5.14962,basalt
6.4064000000000005,11.09313,2.75571,basalt
7.14285,10.92537,3.0752999999999995,basalt
8.0795,10.31724,3.71448,basalt
6.456449999999999,10.2054,3.08133,basalt
6.985549999999999,9.91881,3.53961,basalt
8.24395,8.82138,3.95568,basalt
7.4932,9.786,3.6783,basalt
7.750599999999999,9.813959999999998,3.81096,basalt
7.586149999999999,10.01667,3.66021,basalt
6.74245,11.42166,3.11751,basalt
7.057049999999999,10.38015,2.97882,basalt
7.343049999999999,8.78643,3.3768,basalt
7.707699999999999,9.93279,3.52755,basalt
6.7782,11.17701,2.87631,basalt
7.650499999999999,8.58372,3.58785,basalt
8.37265,8.30412,4.31145,basalt
8.05805,8.72352,3.76875,basalt
7.436,9.61125,3.14163,basalt
7.7363,8.1084,4.02201,basalt
7.55755,8.471879999999999,4.54662,basalt
7.9222,8.415959999999998,4.6431,basalt
7.464599999999999,7.08786,4.62501,basalt
6.85685,8.30412,3.53358,basalt
6.5494,9.7161,2.6532,basalt
6.7782,9.66018,3.52152,basalt
7.37165,8.08743,3.73257,basalt
7.85785,8.84934,3.86523,basalt
8.6086,7.220669999999999,7.404839999999999,basalt
7.20005,8.171309999999998,5.61996,basalt
7.24295,8.82138,3.26826,basalt
6.513649999999999,10.47801,2.7979199999999995,basalt
7.90075,8.05248,5.288309999999999,basalt
6.048900000000001,10.21239,2.5929,basalt
6.49935,9.9957,2.85822,basalt
8.008,6.668459999999999,5.21595,basalt
7.9222,8.60469,4.36572,basalt
6.6638,11.736209999999998,3.29841,basalt
7.9651,8.926229999999999,4.0401,basalt
8.594299999999999,7.849769999999999,4.48029,basalt
4.7619,8.989139999999999,4.78179,basalt
8.10095,7.87074,5.31243,basalt
8.98755,7.48629,4.81194,basalt
9.03045,8.12937,4.71546,basalt
8.722999999999999,8.08743,4.709429999999999,basalt
7.929349999999999,8.61867,4.04613,basalt
7.95795,8.89827,4.37778,basalt
8.122399999999999,8.18529,4.20894,basalt
6.3206,9.21282,3.38886,basalt
5.8058,9.45747,3.32253,basalt
7.171449999999999,11.45661,2.03211,basalt
7.285849999999999,6.633509999999999,5.51745,basalt
6.74245,9.10098,2.27331,basalt
7.54325,8.48586,4.02804,basalt
8.0938,5.8017,4.49235,basalt
4.9049,7.1997,1.64016,basalt
7.24295,6.29799,3.54564,basalt
7.9365,5.0328,5.17977,basalt
8.3798,4.83009,5.14962,basalt
7.643349999999999,5.76675,3.99789,basalt
7.54325,6.27003,6.150599999999999,basalt
4.897749999999999,6.004409999999999,1.87533,basalt
7.95795,7.91268,2.53863,basalt
7.72915,8.61168,3.06324,basalt
7.60045,8.77245,3.41298,basalt
7.2501,10.044629999999998,3.54564,basalt
9.2235,2.9358,1.5074999999999998,basalt
6.635199999999999,7.619099999999999,2.26728,basalt
3.1603,5.27745,0.91053,basalt
8.6086,8.3181,4.69134,basalt
8.479899999999999,8.6676,4.679279999999999,basalt
6.64235,7.465319999999999,2.99088,basalt
7.943649999999999,9.54834,3.42504,basalt
8.0366,8.276159999999999,4.41999,basalt
7.97225,9.30369,3.85317,basalt
7.2215,8.751479999999999,3.2320800000000003,basalt
6.44215,8.39499,3.02706,basalt
7.95795,9.05904,2.99088,basalt
6.05605,9.44349,2.50245,basalt
7.15,8.79342,2.93058,basalt
7.328749999999999,8.262179999999999,3.75066,basalt
7.350199999999999,8.61867,3.55167,basalt
7.72915,8.60469,3.18987,basalt
6.7639000000000005,9.58329,3.37077,basalt
6.69955,9.07302,2.8341,basalt
5.376799999999999,6.58458,2.58687,basalt
5.133699999999999,8.05947,1.6281,basalt
4.88345,8.44392,1.55574,basalt
4.44015,8.53479,1.27836,basalt
5.54125,7.073879999999999,2.18889,basalt
3.9039,8.29713,0.92259,basalt
7.7792,6.724379999999999,7.332479999999999,basalt
7.028449999999999,7.2696,4.08231,basalt
6.284849999999999,6.955049999999999,3.52755,basalt
6.79965,6.374879999999999,3.75669,basalt
6.3635,6.829229999999999,3.95568,basalt
5.4197,7.66104,3.80493,basalt
7.2787,7.51425,3.40092,basalt
5.584149999999999,8.35305,3.09942,basalt
8.8231,7.409399999999999,4.81194,basalt
7.15,7.695989999999999,4.32351,basalt
7.8793,8.42994,3.72654,basalt
7.0785,7.926659999999999,4.11246,basalt
7.028449999999999,8.15733,8.12241,basalt
7.6791,7.108829999999999,5.481269999999999,basalt
6.9784,9.107969999999998,2.65923,basalt
6.05605,9.48543,2.74968,basalt
6.864,9.30369,2.54466,basalt
8.908900000000001,8.695559999999999,3.74463,basalt
6.935499999999999,6.96903,3.66021,basalt
7.0785,8.28315,3.72051,basalt
6.628049999999999,7.772879999999999,4.29939,basalt
6.106099999999999,10.51995,3.63006,basalt
5.977399999999999,7.74492,3.2320800000000003,basalt
6.65665,8.33907,3.18384,basalt
6.1919,8.29014,3.69639,basalt
7.80065,6.7872900000000005,2.99691,basalt
6.6209,7.98957,5.19183,basalt
5.69855,8.95419,3.4371,basalt
7.20005,7.31154,3.86523,basalt
7.5504,7.570169999999999,3.38886,basalt
6.4922,7.17174,3.65418,basalt
7.72915,8.33208,3.46122,basalt
9.3093,8.06646,4.31748,basalt
7.2644,7.884719999999999,4.17276,basalt
7.507499999999999,8.66061,5.354640000000001,basalt
7.743449999999999,8.48586,3.95568,basalt
7.564699999999999,8.35305,3.92553,basalt
10.21735,7.647059999999999,3.72051,basalt
7.9365,7.968599999999999,4.83003,basalt
8.08665,7.612109999999999,4.1607,basalt
7.8364,7.500269999999999,5.42097,basalt
7.049899999999999,7.528229999999999,4.62501,basalt
8.351199999999999,8.57673,4.13658,basalt
7.4217,7.03893,3.98583,basalt
7.2501,10.45005,2.85219,basalt
5.927349999999999,7.79385,3.06324,basalt
5.977399999999999,7.346489999999999,3.52152,basalt
6.04175,8.36004,3.14766,basalt
7.0356,10.17744,2.94264,basalt
5.7772,8.730509999999999,2.82204,basalt
7.507499999999999,6.7872900000000005,3.61197,basalt
7.1357,10.44306,4.00392,basalt
6.3206,6.9201,3.50946,basalt
5.133699999999999,6.989999999999999,4.4019,basalt
7.178599999999999,7.220669999999999,4.37778,basalt
