ID,AT,AZ,DIP
DH049,279.549988,270.5,71.0
DH049,394.200012,270.0,70.0
DH050,0.0,270.5,71.0
DH050,34.0,270.5,71.0
DH050,82.0,269.5,70.0
DH050,130.0,268.5,70.0
DH050,154.0,269.5,70.0
DH050,166.0,270.5,70.0
DH050,178.0,271.5,70.0
DH050,191.5,272.75,70.0
DH050,198.25,273.369995,70.0
DH050,205.0,274.0,70.0
DH050,232.0,276.5,70.0
DH050,259.0,275.5,70.0
DH050,286.0,274.5,70.0
DH050,334.0,275.5,70.0
DH050,420.399994,275.5,70.0
DH052,0.0,90.0,45.0
DH052,175.100006,90.0,45.0
DH053,0.0,272.5,72.0
DH053,44.549999,272.5,72.0
DH053,95.550003,272.5,72.0
DH053,146.550003,272.5,72.0
DH053,159.300003,271.5,72.0
DH053,172.050003,270.5,72.0
DH053,184.800003,269.5,72.0
DH053,197.550003,268.5,72.0
DH053,223.050003,267.0,72.0
DH053,248.550003,265.5,72.0
DH053,254.925003,266.380005,72.0
DH053,261.299988,267.25,72.0
DH053,267.674988,268.130005,72.0
DH053,274.049988,269.0,72.0
DH053,280.424988,269.880005,72.0
DH053,286.799988,270.75,72.0
DH053,293.174988,271.630005,72.0
DH053,299.549988,272.5,72.0
DH053,355.549988,272.5,72.0
DH054,0.0,270.0,70.0
DH054,326.75,270.0,70.0
DH055,0.0,87.5,62.0
DH055,69.449997,87.5,62.0
DH055,99.449997,88.5,61.5
DH055,129.449997,89.5,61.0
DH055,189.449997,90.5,61.0
DH055,194.25,88.5,61.5
DH056,0.0,271.5,71.0
DH056,47.849998,271.5,71.0
DH056,73.349998,270.0,71.0
DH056,98.849998,268.5,71.0
DH056,149.850006,269.5,71.0
DH056,175.350006,270.5,71.0
DH056,200.850006,271.5,71.0
DH056,240.850006,272.5,71.0
DH056,280.850006,273.5,71.0
DH056,287.225006,274.5,71.0
DH056,293.600006,275.5,71.0
DH056,299.975006,276.5,71.0
DH056,306.350006,277.5,71.0
DH056,312.725006,278.5,71.0
DH056,319.100006,279.5,71.0
DH056,325.475006,280.5,71.0
DH056,331.850006,281.5,71.0
DH056,336.350006,281.5,71.0
DH057,0.0,270.0,70.0
DH057,160.449997,270.0,70.0
DH058,0.0,270.0,70.0
DH058,105.449997,270.0,70.0
