Nombre,SiO2,Al2O3,CaO,Na2O,K2O,FeOT,MgO,MnO,TiO2
andesite,61.96,17.53,5.23,4.25,1.7,4.59,3.21,0.08,0.73
andesite,56.35,15.84,6.66,4.66,2.43,6.14,5.35,0.08,1.07
andesite,58.62,15.85,6.36,3.91,1.34,5.94,6.18,0.09,0.85
andesite,57.46,16.4,6.3,3.75,1.74,6.02,6.49,0.1,0.85
andesite,58.65,15.56,6.05,3.55,1.55,5.66,7.21,0.1,0.86
andesite,54.67,16.5,7.21,3.8,1.57,6.84,7.37,0.11,0.88
andesite,56.22,16.37,6.66,3.97,1.58,6.34,6.94,0.11,0.86
andesite,55.01,16.4,7.16,4.11,1.23,7.48,6.09,0.13,1.29
andesite,60.6,16.1,5.93,3.9,1.75,4.94,4.49,0.09,0.7
andesite,61.0,16.2,5.84,3.95,2.01,4.93,4.33,0.09,0.68
andesite,60.2,16.1,6.14,3.93,1.69,5.12,4.77,0.09,0.71
andesite,60.0,16.2,6.19,3.89,1.69,5.24,4.91,0.09,0.72
andesite,60.6,16.1,5.93,3.9,1.75,4.94,4.49,0.09,0.7
andesite,61.0,16.2,5.48,3.95,2.01,4.93,4.33,0.09,0.68
andesite,56.1,15.7,6.78,3.75,1.45,6.43,7.12,0.11,1.01
andesite,56.9,15.8,6.55,3.8,1.51,6.19,6.65,0.1,1.0
andesite,59.6,16.7,5.46,4.19,1.48,5.21,4.32,0.09,0.88
andesite,61.6,15.7,5.44,4.31,1.74,4.97,4.3,0.09,0.8
andesite,61.9,15.8,5.12,4.33,1.63,4.82,4.54,0.08,0.73
andesite,52.4,15.3,8.12,3.59,1.32,7.34,8.51,0.12,1.25
andesite,54.0,15.42,7.51,3.35,0.96,6.91,9.24,0.12,0.81
andesite,58.3,18.8,5.92,4.47,1.2,5.79,2.49,0.09,0.97
andesite,57.1,16.84,3.8,5.67,1.68,6.48,1.19,0.13,1.04
andesite,55.52,15.88,7.51,3.06,1.67,6.55,6.01,0.14,0.8
andesite,56.2,17.3,2.91,6.41,3.04,7.89,1.45,0.18,1.12
andesite,55.45,15.03,7.36,2.2,1.23,7.14,4.51,0.09,0.94
andesite,54.88,16.36,9.74,2.32,0.67,7.7,4.49,0.16,1.06
andesite,63.04,17.9,3.49,4.29,3.41,3.91,1.16,0.06,0.48
andesite,54.12,19.51,9.68,3.08,0.63,7.33,4.7,0.15,0.64
andesite,60.65,15.15,5.57,2.68,1.49,6.41,2.79,0.15,0.44
andesite,61.3,14.41,1.91,3.84,2.16,8.9,2.58,0.17,0.68
andesite,62.05,14.22,8.01,3.63,0.37,5.25,1.67,0.13,0.4
andesite,62.44,14.18,2.78,3.31,2.55,7.27,2.93,0.15,0.67
andesite,63.85,15.9,0.7,2.04,5.92,3.39,2.51,0.05,0.48
andesite,62.02,16.01,0.98,4.87,2.17,4.53,3.79,0.0,0.67
andesite,58.94,15.39,2.51,4.63,1.64,5.32,6.59,0.1,0.81
andesite,61.32,16.65,2.18,6.23,1.04,4.75,3.75,0.11,0.77
andesite,57.93,15.19,4.9,2.54,1.76,4.82,7.65,0.06,0.72
andesite,56.23,15.26,4.38,2.65,1.45,6.53,8.47,0.0,0.74
andesite,60.1,14.28,5.88,2.26,0.66,4.84,6.78,0.07,0.68
andesite,56.59,17.08,6.98,2.64,0.55,6.39,4.56,0.09,0.87
andesite,56.01,17.21,7.21,2.76,0.64,6.43,4.04,0.08,0.88
andesite,53.3,18.22,7.21,3.09,1.08,7.25,3.36,0.08,0.95
andesite,60.24,16.82,3.4,4.05,2.64,4.88,1.29,0.06,1.22
andesite,59.32,16.93,5.37,3.98,2.17,5.02,3.82,0.07,0.88
andesite,51.6,15.66,9.65,3.13,1.43,6.67,3.7,0.12,1.41
andesite,57.29,19.25,8.44,3.16,0.73,6.94,2.04,0.16,0.76
andesite,54.2,18.95,7.31,2.36,0.93,8.9,4.12,0.18,0.79
andesite,61.91,15.94,5.7,2.49,1.99,7.0,3.21,0.13,0.65
andesite,61.55,16.8,6.35,2.74,1.64,6.76,2.36,0.12,0.66
andesite,58.4,16.25,6.84,2.5,1.5,8.62,3.9,0.15,0.75
andesite,60.75,17.8,6.3,3.03,1.3,6.49,2.58,0.15,0.56
andesite,58.27,17.33,7.37,2.86,1.08,8.03,3.59,0.15,0.73
andesite,59.22,16.69,7.3,2.57,1.51,7.57,3.98,0.13,0.72
andesite,59.03,16.24,7.59,2.56,1.75,7.67,4.0,0.13,0.66
andesite,58.88,18.47,7.41,3.16,1.46,6.54,2.36,0.11,0.89
andesite,60.6,17.39,6.8,3.26,0.99,6.66,3.14,0.14,0.66
andesite,61.1072044840356,17.3590911820639,6.22684816334701,3.34367730957862,1.55170653588229,6.17,2.80308277449705,0.110121108998098,0.520572515263737
andesite,61.175526,17.404332,6.188652,3.324648,1.55217,6.21,2.813934,0.110154,0.520728
andesite,59.891110222844,17.2680563605476,6.29647446787249,3.12336964125112,1.52189667232937,6.69,3.16315778954732,0.119364444888578,0.566981113220745
andesite,61.7885688568857,17.3287488748875,5.80952295229523,3.35395139513951,1.58713771377138,5.92,2.61528352835284,0.10980198019802,0.499099909990999
andesite,61.0088461538462,17.2938461538462,6.25500801282051,3.27262019230769,1.55124198717949,6.22,2.83226762820513,0.120096153846154,0.510408653846154
andesite,61.19,17.2,6.17,3.37,1.58,6.15,2.8,0.11,0.54
andesite,60.7443267108168,17.3142263696568,5.94086293397552,3.32927553682521,1.59486253261088,6.16,2.78104154124022,0.109646799116998,0.528298213927353
andesite,61.9364475524476,16.9587892107892,6.03820579420579,3.19845554445554,1.51453346653347,6.0,2.68032567432567,0.109604395604396,0.488237762237762
andesite,60.5853030151257,17.3115185815887,6.43543423820495,3.26783732344986,1.55372633476911,6.39,2.98716417910448,0.110264449564259,0.571370329560252
andesite,60.4018649324662,17.2748134067034,6.40807603801901,3.23902751375688,1.57952576288144,6.48,3.00909654827414,0.109966983491746,0.549834917458729
andesite,60.5502099790021,17.3000599940006,6.09185081491851,3.27486751324868,1.53291670832917,6.34,2.94638536146385,0.109494050594941,0.547470252974703
andesite,59.1729287572544,17.8068070842505,6.58142785671403,3.24577246347809,1.44811386832099,6.42,3.4854602761657,0.119843906343806,0.649154492695617
andesite,59.6901638689049,17.6411820543565,6.55672262190248,3.27836131095124,1.46926558752998,6.32,3.42828637090328,0.119940047961631,0.649675259792166
andesite,59.392168084042,17.7446723361681,6.67799499749875,3.22903051525763,1.4295707853927,6.36,3.46895847923962,0.119963981990996,0.639807903951976
andesite,56.6,16.6,5.94,4.01,2.3,7.29,3.05,0.11,1.65
andesite,56.0980939973945,16.188107024752,7.88394829141196,3.0615332197615,1.03051608377593,7.39,6.31316163944283,0.130065136787253,0.740370778635134
andesite,59.801805249449,17.5811099979964,6.63797034662392,3.26391905429774,1.45174313764777,6.2,3.37405129232619,0.120144259667401,0.670805449809657
andesite,58.9065709712914,18.0265429628889,6.25714714414324,3.14843753125938,1.43020506151846,6.42,3.46626087826348,0.119183755126538,0.635646694008202
andesite,59.6684489306416,16.5800519688187,5.84249450329802,3.01993803717769,1.50009994003598,6.72,3.71077353587847,0.128298021187288,0.671097341595043
andesite,53.291315,17.330915,8.69043,3.346315,0.679252,8.73,5.953444,0.159824,0.579362
andesite,59.6563556355636,17.6053155315532,6.57078707870787,3.22547754775478,1.43798379837984,6.3,3.42519751975198,0.11983198319832,0.659075907590759
andesite,60.30068745004,16.9943725019984,5.7774900079936,3.72901678657074,1.37227817745803,5.91,3.71907274180656,0.0795523581135092,0.745803357314149
andesite,58.5815446098511,16.7546807872914,6.46251973224098,3.62020781296833,1.23665501049056,6.43,4.85686282345889,0.089757218503347,0.817787990808273
andesite,57.9063593640636,16.7108309169083,6.78970702929707,3.50917508249175,1.24262573742626,6.17,5.26873312668733,0.0994100589941006,0.795280471952805
andesite,59.6860098176718,16.561255259467,5.4476507713885,3.55238429172511,1.3296633941094,5.91,4.80266479663394,0.0893057503506311,0.78390603085554
andesite,58.9,16.2,5.22,3.98,2.55,6.29,2.67,0.09,1.37
andesite,61.4791926274667,16.911525593509,5.61718521486527,4.04797155163778,1.48925373134328,5.29,3.35831713913653,0.0799599318842031,0.709644395472303
andesite,61.9451129322407,17.2663102138717,4.79619728163102,3.90618129122526,1.51302718368979,5.83,2.0865930441735,0.0494453328003198,0.712012792324605
andesite,58.6704198473282,17.2403053435115,5.70393129770992,3.57854961832061,1.30488549618321,6.24,3.85534351145038,0.0790839694656489,0.820496183206107
andesite,58.6005237381309,16.6677541229385,5.95347926036982,3.56811194402799,1.27219590204898,6.27,5.23786906546727,0.109329335332334,0.824939530234883
andesite,58.5478402958225,17.0413022186688,6.21307815310814,3.58294123525884,1.26048071157306,6.53,4.26776933839696,0.0893254047571457,0.813853687787328
andesite,58.8213700960769,17.1087910328263,5.92075060048038,3.34651120896717,1.27721877502002,6.72,4.04947658126501,0.118811048839071,0.68316353082466
andesite,61.4700810648519,17.4269315452362,5.13489791833467,3.53891613290633,1.57615592473979,5.74,2.61701361088871,0.0991293034427542,0.664166333066453
andesite,60.2764712356178,17.2049564782391,6.4247603801901,3.51785192596298,1.51750475237619,5.55,2.49304352176088,0.0985392696348174,0.640505252626313
andesite,59.6,16.0,5.05,4.07,2.6,6.33,2.61,0.1,1.38
andesite,53.4,16.3,7.33,3.8,2.38,7.98,4.12,0.14,1.66
andesite,53.3,16.1,7.33,3.81,2.35,7.84,4.15,0.14,1.63
andesite,56.5,15.8,6.53,3.88,2.75,3.83,3.52,0.12,1.31
andesite,64.6,16.9,4.3,3.9,1.24,4.68,2.6,0.09,0.64
andesite,62.9,15.9,3.3,4.4,1.71,6.21,3.5,0.1,0.65
andesite,58.97,16.37,6.46,3.12,1.53,6.82,2.47,0.17,0.75
andesite,59.41,15.47,6.75,2.62,1.26,6.39,3.48,0.15,0.53
andesite,59.19,16.19,7.11,2.83,0.52,7.58,2.38,0.13,0.77
andesite,56.93,16.09,7.76,2.51,0.47,7.83,3.6,0.16,0.73
andesite,58.77,17.95,7.27,3.52,0.6,6.82,3.19,0.19,0.59
andesite,52.69,17.63,9.04,3.21,0.77,7.88,4.17,0.18,0.87
andesite,56.4,16.5,7.5,3.66,0.79,5.18,4.76,0.1,0.94
andesite,55.14,17.12,7.76,3.44,0.99,5.11,4.36,0.05,0.91
andesite,55.45,15.79,7.78,3.77,1.42,6.08,4.62,0.13,0.94
andesite,57.89,18.39,6.72,4.03,1.87,5.35,1.71,0.08,1.02
andesite,59.11,17.09,4.1,3.47,2.74,4.65,1.03,0.07,0.83
andesite,52.16,16.91,8.92,3.51,0.84,6.28,5.52,0.11,0.97
andesite,54.93,17.17,8.11,3.81,0.9,7.81,4.53,0.14,1.1
andesite,64.4,15.55,3.78,5.01,2.33,5.03,1.38,0.12,1.02
andesite,57.66,16.45,6.1,4.8,1.34,7.64,2.75,0.14,1.44
andesite,51.76,16.81,9.56,2.61,0.91,8.28,6.97,0.14,0.96
andesite,52.94,18.54,9.29,3.14,0.71,7.14,6.55,0.13,0.8
andesite,54.2,17.48,8.67,3.32,0.99,7.58,5.65,0.12,0.93
andesite,51.59,16.78,9.94,2.76,0.84,8.41,7.16,0.15,0.97
andesite,56.31,16.68,8.43,2.73,1.46,6.37,6.26,0.12,0.66
andesite,57.15,16.03,7.27,3.33,1.82,6.78,4.29,0.11,1.17
andesite,54.83,17.2,7.09,3.46,1.38,7.25,5.41,0.1,0.9
andesite,54.27,16.12,8.02,3.09,1.29,8.42,4.99,0.11,0.91
andesite,54.39,16.25746,7.90941,3.16,1.39,8.37,5.05,0.111,0.89
andesite,54.2,14.07,8.08,2.18,1.58,8.98,6.97,0.1,0.53
andesite,53.61,13.15,10.44,1.69,0.92,9.35,7.3,0.12,0.72
andesite,55.22,14.87,7.91,2.33,1.67,8.86,6.62,0.1,0.62
andesite,53.38,14.28,5.96,2.88,1.36,8.43,8.84,0.13,0.56
andesite,52.44,13.88,8.02,1.93,1.91,8.58,8.61,0.12,0.54
andesite,52.56,14.00671,7.9419,1.99,1.82,8.53,8.66,0.121,0.52
andesite,52.42,13.76,7.65,2.46,1.6,8.58,8.56,0.12,0.55
andesite,52.29,16.14,7.54,3.28,2.04,8.52,5.4,0.1,0.67
andesite,55.27,16.03,7.22,2.51,1.42,8.36,5.18,0.123,0.64
andesite,55.51,15.55,6.97,2.34,2.03,7.99,5.21,0.137,0.61
andesite,50.99,16.62,8.2,2.06,1.69,9.44,6.82,0.125,0.71
andesite,53.35,16.55,9.54,2.58,0.51,9.15,4.95,0.148,0.63
andesite,58.44,15.62,4.96,4.12,1.23,7.65,4.8,0.089,0.6
andesite,53.59,16.63,7.74,3.42,1.08,9.27,5.09,0.134,0.65
andesite,56.39,16.71,7.49,3.5,1.07,8.15,3.92,0.091,0.61
andesite,54.06,15.09,7.89,2.53,1.1,9.25,7.08,0.14,0.6
andesite,55.61,15.43,7.23,3.23,1.23,8.61,5.49,0.128,0.6
andesite,54.01,17.27,6.98,6.27,1.24,5.8,4.87,0.11,0.67
andesite,53.25,17.64,6.8,4.14,1.81,5.93,6.92,0.11,0.62
andesite,53.24,16.41,8.59,5.21,1.53,5.99,4.82,0.12,0.63
andesite,53.72,16.18,7.76,5.09,1.61,6.16,6.03,0.12,0.65
andesite,54.98,16.05,7.8,4.74,2.9,5.86,4.52,0.11,0.63
andesite,55.13,16.51,7.77,4.75,2.82,5.71,4.49,0.13,0.65
andesite,53.4,21.1,7.83,4.7,2.78,5.78,2.46,0.155,0.685
andesite,67.4,16.9,2.08,2.96,1.7,4.28,1.61,0.11,0.49
andesite,75.5,13.4,1.63,1.18,3.74,1.34,1.0,0.06,0.47
andesite,58.33,16.09,7.35,3.0,1.54,6.81,5.22,0.12,0.7
andesite,60.93,17.29,6.03,3.75,1.97,5.79,2.65,0.1,0.78
andesite,61.01,17.55,6.18,3.85,1.88,5.53,2.46,0.09,0.79
andesite,58.6,17.11,7.17,3.22,1.57,6.77,3.96,0.12,0.73
